material_id,formula,space_group_number,hybrid_probability,energy_above_hull,has_inversion
mp-1205353,K4 Mn4 F12,74,0.9984756610382676,0.0,True
mp-6294,Sr4 Er2 Ru2 O12,14,0.998301333290473,0.0,True
mp-562216,Ba8 Co4 Si8 O28,15,0.9980801452310868,0.001387606666667,True
mp-16796,Sr4 Gd2 Ru2 O12,14,0.9963455688459998,0.0,True
mp-1210608,Mg4 Mn4 Si4 O16,62,0.9955868266340878,0.0,True
mp-1194374,Nb8 V2 S16,194,0.9955254869823732,0.0,True
mp-1189260,Nb6 Cr2 S12,182,0.99519226124255,0.0,False
mp-644332,K4 Mn4 F12,11,0.9971473093446792,0.002034278499998,True
mp-744259,Ca24 Mn16 Ge24 O96,88,0.9940511152270978,0.0,False
mp-1208073,Tm8 Ga36 Ir12,63,0.99385157248014,0.0,True
mp-1178903,V4 F12,15,0.9964830658613916,0.002986252500001,True
mp-1210924,Li2 Tb4 Ru2 O12,14,0.9932332343323914,0.0,True
mp-560382,K4 Mn4 F12,127,0.9940878037862646,0.000924576,True
mp-1210954,Li2 Sm4 Ru2 O12,14,0.9927720122884888,0.0,True
mp-1101212,V16 O4 F44,5,0.9945779102090064,0.002462159895833,False
mp-20223,Mn8 Ge4 O16,62,0.9917074615476832,0.0,True
mp-19050,Ca16 Mn8 O32,142,0.9982132815346132,0.007273808452382,True
mp-781049,V16 O4 F44,5,0.9933095599267742,0.002890247708333,False
mp-19004,Sr16 Fe16 O46,139,0.990978248472576,0.000641234102569,True
mp-18928,Mn8 Si4 O16,62,0.9902985661271656,0.0,True
mp-1274129,Sr8 Co4 Ge8 O28,1,0.9910043775640566,0.001160532499995,False
mp-758075,Fe8 H16 O8 F20,74,0.9975734323397936,0.00832864012821,True
mp-1195892,Rb4 Fe8 F24,62,0.9886756715735752,0.0,True
mp-1283659,Sr4 Mn2 Ga2 O10,1,0.9919564762716432,0.003614081666667,False
mp-6603,Sr4 Ce2 Ir2 O12,14,0.9881963574355624,0.0,True
mp-541374,Rb8 Mn8 H16 O8 F32,15,0.9945479561984816,0.00830812166667,True
mp-546027,Cr6 Bi6 O18,161,0.9978820190357852,0.014705041000002,False
mp-1214474,Ba4 Fe8 F28,14,0.9973950139941749,0.015786852500013,True
mp-26069,Li12 Fe8 P12 O48,14,0.992097048331379,0.011562695624999,True
mp-605437,Fe4 H4 O8,62,0.9795851527417112,0.0,True
mp-1227126,Ca2 Y2 Mn4 O12,31,0.9915536486545772,0.013137492097214,False
mp-1305431,Ca2 Y2 Mn4 O12,6,0.994717067159678,0.016691329597213,False
mp-705312,Li12 Fe12 P12 O48,33,0.9928786814241644,0.016427909761904,False
mp-1211080,Li2 Nd4 Ru2 O12,14,0.9764167759229352,0.0,True
mp-559851,Cr4 Bi4 O12,62,0.9871985199993032,0.011202689999999,True
mp-1227194,Ca1 La3 Fe4 O12,6,0.988335633366588,0.012602566875003,False
mp-554162,Ca16 Mn12 O40,61,0.9971473093446792,0.02164104617647,True
mp-18493,Na24 Fe12 P18 O72,167,0.993655146533157,0.018703343928591,True
mp-1227926,Ca8 Y4 Mn12 O36,62,0.9872639709524162,0.01265218109723,True
mp-1222459,Lu3 Sc1 V4 O12,6,0.9932251010988664,0.0193876755625,False
mp-1211045,Li2 Gd4 Ru2 O12,14,0.9931033972914348,0.020619058166666,True
mp-20699,Y4 Mn4 O12,62,0.9953325541227004,0.023095256833332,True
mp-1147774,Ba8 Ni4 Ru4 O24,194,0.9975348789255571,0.025932189499996,True
mp-780699,V4 O1 F11,1,0.9849188038109392,0.013820138333333,False
mp-1227525,Ca4 La8 Fe12 O36,62,0.9779419547062954,0.007274074666669,True
mp-18395,Ca12 Mn8 O28,63,0.9959056169569744,0.026223513611109,True
mp-1227180,Ca2 Lu2 Mn4 O12,26,0.9960149378206108,0.026526318402771,False
mp-756285,V8 O4 F20,5,0.9720767594186052,0.003322994583333,False
mp-1223087,Lu8 Sc4 V12 O36,6,0.989829301984956,0.024158405666666,False
