rank_hybrid,material_id,formula,space_group_number,crystal_system,gnn_probability,hybrid_probability,hybrid_probability_std,explicit_only_probability,embedding_only_probability,formation_energy_per_atom,energy_above_hull,band_gap,n_magnetic_sites,magnetic_elements,dft_priority_score,dft_selected,rationale
5857,mp-683980,mp-683980,14,monoclinic,2.6942939475821117e-27,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.485349374423077,0.0,3.4108,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5858,mp-12487,mp-12487,63,orthorhombic,2.434695346669229e-27,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.2834591277203051,0.0,1.5476,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5859,mp-12802,mp-12802,59,orthorhombic,2.789368701567596e-20,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.20196853,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5860,mp-1222208,mp-1222208,12,monoclinic,1.522326558795113e-20,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.207595731111111,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5861,mp-1202743,mp-1202743,15,monoclinic,5.561537135493561e-21,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.07088447409375,0.0,1.6021,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5862,mp-568638,mp-568638,173,hexagonal,2.0954507492220305e-23,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.576679984283854,0.0,1.5105,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5863,mp-1209971,mp-1209971,189,hexagonal,2.885844292852751e-24,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.355493308749998,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5864,mp-665747,mp-665747,62,orthorhombic,2.1919723301513272e-22,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.309510020000001,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5865,mp-2717,mp-2717,12,monoclinic,1.3789515328007534e-15,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.427306064444444,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5866,mp-1211217,mp-1211217,127,tetragonal,2.857832039323579e-24,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.20041386111111,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5867,mp-1198856,mp-1198856,14,monoclinic,8.336959380287645e-27,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.621283702419354,0.0,4.0478,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5868,mp-1208195,mp-1208195,46,orthorhombic,1.4454329920800808e-21,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.593652570000001,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5869,mp-1822,mp-1822,194,hexagonal,2.2908432094840737e-27,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.053863845833333,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5870,mp-1217144,mp-1217144,119,tetragonal,2.1465909056565625e-24,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.446847378194444,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5871,mp-1104311,mp-1104311,148,trigonal,4.521960735054248e-22,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.8891924821428581,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5872,mp-1104000,mp-1104000,139,tetragonal,2.6518790960904093e-13,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.445606123324175,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5873,mp-1104183,mp-1104183,12,monoclinic,1.4447362306855444e-24,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.5951909629618221,0.0,0.334999999999999,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5874,mp-1200326,mp-1200326,26,orthorhombic,2.6385272762366937e-18,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.5652398206190461,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5875,mp-864839,mp-864839,225,cubic,2.343419447859678e-40,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.5148492624999991,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5876,mp-582278,mp-582278,216,cubic,0.0,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.569057211944449,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5877,mp-2567,mp-2567,223,cubic,4.189548562548562e-25,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.4973138,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5878,mp-554326,mp-554326,205,cubic,6.230958058260563e-35,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.817252799750002,0.0,2.5909,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5879,mp-1208826,mp-1208826,63,orthorhombic,1.1846481481014001e-21,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.6882729243750011,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5880,mp-1078613,mp-1078613,62,orthorhombic,2.279476606660981e-19,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.412515317500002,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5881,mp-1210003,mp-1210003,63,orthorhombic,2.4410619248538313e-42,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-4.022063373726053,0.0,7.5674,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5882,mp-19388,mp-19388,148,trigonal,1.3689293600993602e-24,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.9536336480769232,0.0,2.8416,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5883,mp-639714,mp-639714,33,orthorhombic,1.797471620802822e-28,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.82178352375,0.0,1.985399999999999,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5884,mp-554900,mp-554900,11,monoclinic,1.4407445883421502e-26,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.9460329710869264,0.0,1.882899999999999,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5885,mp-567322,mp-567322,62,orthorhombic,2.1060604701218262e-16,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.247280546857142,0.0,0.6252999999999991,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5886,mp-1218016,mp-1218016,35,orthorhombic,1.5282561051926455e-41,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-3.560721565833332,0.0,4.2408,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5887,mp-1208548,mp-1208548,194,hexagonal,1.8939443960092365e-20,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.6851077910526321,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5888,mp-1210192,mp-1210192,62,orthorhombic,1.196820764118165e-22,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.224606854813217,0.0,1.0155,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5889,mp-553918,mp-553918,34,orthorhombic,5.252134940084161e-29,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-3.026125939754903,0.0,0.759,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5890,mp-1203883,mp-1203883,58,orthorhombic,9.855146814382613e-16,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.216107461666666,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5891,mp-779742,mp-779742,14,monoclinic,6.696390155514214e-24,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.425941396580575,0.0,3.7656,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5892,mp-19729,mp-19729,194,hexagonal,1.9229041185016887e-20,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.912312789166666,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5893,mp-505009,mp-505009,136,tetragonal,3.7965972241353457e-25,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.8695318752777772,0.0,0.5366000000000001,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5894,mp-21686,mp-21686,150,trigonal,2.8287980925930103e-23,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.8614909181770825,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5895,mp-1208316,mp-1208316,62,orthorhombic,3.544771362701188e-20,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.910464104791666,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5896,mp-867253,mp-867253,225,cubic,9.876351576561312e-42,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.383764919166665,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5897,mp-771144,mp-771144,11,monoclinic,1.1662904223928764e-14,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.9772908193567271,0.0,1.7516,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5898,mp-1192706,mp-1192706,139,tetragonal,2.540498688613553e-25,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.592107078622223,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5899,mp-1208868,mp-1208868,176,hexagonal,8.292927503925222e-21,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-3.110908441538461,0.0,3.454,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5900,mp-1202141,mp-1202141,140,tetragonal,4.0076519508365465e-39,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.6461011415000031,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5901,mp-567530,mp-567530,62,orthorhombic,1.9396743665465147e-25,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.852932281646552,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5902,mp-569484,mp-569484,8,monoclinic,3.4629538290832285e-24,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.075082679345237,0.0,0.2181,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5903,mp-1189051,mp-1189051,36,orthorhombic,2.167120024638808e-23,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.021794897249994,0.0,2.094099999999999,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5904,mp-557963,mp-557963,7,monoclinic,6.184350512604713e-41,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.339683496166666,0.0,2.2567,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5905,mp-1024047,mp-1024047,186,hexagonal,5.9168354423920965e-22,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.175660502513715,0.0,1.6667,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5906,mp-679929,mp-679929,53,orthorhombic,9.617049838342764e-24,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-3.029376486944446,0.0,0.471,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5907,mp-1203331,mp-1203331,62,orthorhombic,1.0796215241858716e-15,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.7004952053124991,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5908,mp-865404,mp-865404,63,orthorhombic,0.0,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.6635613746969701,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5909,mp-1104159,mp-1104159,15,monoclinic,1.0556081542966804e-19,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.290340404999998,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5910,mp-1228241,mp-1228241,186,hexagonal,3.2058378304466022e-24,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.529088223500001,0.0,0.0009,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5911,mp-19733,mp-19733,194,hexagonal,5.846840339842526e-19,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.40696587666666,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5912,mp-505448,mp-505448,62,orthorhombic,8.447935509604378e-16,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.285682784318427,0.0,0.3845,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5913,mp-752672,mp-752672,15,monoclinic,4.612843728422456e-27,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-3.146016700761492,0.0,4.0314,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5914,mp-29758,mp-29758,14,monoclinic,0.0,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.433222992391305,0.0,3.4419,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5915,mp-6153,mp-6153,230,cubic,1.3215100095373405e-36,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-3.180364160456896,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5916,mp-1209742,mp-1209742,14,monoclinic,8.187268446618106e-40,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.840139070833332,0.0,2.0522,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5917,mp-10311,mp-10311,139,tetragonal,4.4294642922813794e-20,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.6627238133333351,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5918,mp-24550,mp-24550,2,triclinic,3.323088574124111e-20,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.66292407421456,0.0,2.2527,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5919,mp-17093,mp-17093,59,orthorhombic,6.71297779882556e-20,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.011576034583331,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5920,mp-5587,mp-5587,62,orthorhombic,5.7410875732743044e-18,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.9122406191666652,0.0,2.0208,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5921,mp-863715,mp-863715,225,cubic,6.3138276881114e-39,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.817601913749996,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5922,mp-569281,mp-569281,127,tetragonal,4.093716969835393e-32,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.660568279,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5923,mp-21453,mp-21453,62,orthorhombic,4.327517207161487e-27,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.028164191666664,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5924,mp-1212187,mp-1212187,193,hexagonal,4.026332255182203e-24,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.480012712395832,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5925,mp-1192544,mp-1192544,82,tetragonal,3.5511930489280834e-24,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.790482906729885,0.0,3.7234,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5926,mp-1188631,mp-1188631,20,orthorhombic,6.686739474699014e-17,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.259802855239583,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5927,mp-1211516,mp-1211516,14,monoclinic,5.7000266500751496e-30,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.502349305125,0.0,4.5743,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5928,mp-1181810,mp-1181810,4,monoclinic,2.365834491879641e-28,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.153040201824073,0.0,1.416499999999999,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5929,mp-9812,mp-9812,167,trigonal,4.0386207729170565e-06,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.822014750000003,0.0,3.5639000000000003,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5930,mp-1218058,mp-1218058,7,monoclinic,7.890179732484037e-18,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.7658952386666673,0.0,0.3557,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5931,mp-1209732,mp-1209732,11,monoclinic,1.9618178500547441e-44,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.7189316626666651,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5932,mp-1223658,mp-1223658,1,triclinic,0.0,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.727997927715909,0.0,3.5502,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5933,mp-1208325,mp-1208325,14,monoclinic,2.535636347792754e-19,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.2497031989115652,0.0,0.9173,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5934,mp-1224957,mp-1224957,4,monoclinic,1.7288754128617175e-28,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.23471216125,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5935,mp-6598,mp-6598,9,monoclinic,7.69649554715111e-20,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.480498010161653,0.0,0.8983000000000001,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5936,mp-1193567,mp-1193567,2,triclinic,1.663331756889776e-24,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.595382681309524,0.0,1.8562999999999992,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5937,mp-617298,mp-617298,51,orthorhombic,1.7076203248360121e-34,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.024602777040228,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5938,mp-21587,mp-21587,225,cubic,1.933119327590313e-13,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.348129073534481,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5939,mp-28472,mp-28472,8,monoclinic,1.0834557066061607e-20,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.26138505474359,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5940,mp-622209,mp-622209,62,orthorhombic,4.648454943466154e-27,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.418775703125,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5941,mp-771106,mp-771106,11,monoclinic,3.9485284560484014e-18,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-3.019989166391927,0.0,5.9047,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5942,mp-1213731,mp-1213731,62,orthorhombic,5.00026647782819e-19,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.424784149062498,0.0,2.9185,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5943,mp-14679,mp-14679,14,monoclinic,1.1797955523806248e-36,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.6149025618225812,0.0,2.250499999999999,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5944,mp-1205067,mp-1205067,61,orthorhombic,3.699679899281402e-38,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.624358551776732,0.0,2.0784,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5945,mp-756459,mp-756459,14,monoclinic,2.5433576622825175e-26,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.231061925566504,0.0,2.6196,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5946,mp-985707,mp-985707,142,tetragonal,2.486910643232416e-30,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.049153361874999,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5947,mp-1197590,mp-1197590,62,orthorhombic,1.9378215085508887e-29,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.642007959374997,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5948,mp-1099,mp-1099,62,orthorhombic,1.725563484668548e-18,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.265752529999998,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5949,mp-1192628,mp-1192628,11,monoclinic,3.112315031206295e-18,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.717228091083334,0.0,1.9502,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5950,mp-1195122,mp-1195122,135,tetragonal,7.116457093889436e-30,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.402178168275862,0.0,0.0264,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5951,mp-19007,mp-19007,15,monoclinic,0.0,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.605111105580362,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5952,mp-505236,mp-505236,2,triclinic,5.108344749597504e-21,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.520729114812924,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5953,mp-9371,mp-9371,62,orthorhombic,0.0,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-4.498629927083332,0.0,7.6163,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5954,mp-644533,mp-644533,127,tetragonal,1.6195268161868707e-26,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.584841632666666,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5955,mp-1213425,mp-1213425,216,cubic,9.067247116776963e-25,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.5739447922222151,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5956,mp-554649,mp-554649,14,monoclinic,3.3010852905734398e-24,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.621251543,0.0,0.636,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5957,mp-865384,mp-865384,225,cubic,0.0,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.7309803975000011,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5958,mp-559719,mp-559719,14,monoclinic,1.8180080548461376e-35,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.5286436316666663,0.0,5.3953,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5959,mp-572298,mp-572298,15,monoclinic,2.5147286700248512e-30,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.958681821408525,0.0,0.810199999999999,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5960,mp-10368,mp-10368,61,orthorhombic,7.829022290318074e-39,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.6121159002455361,0.0,0.6371,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5961,mp-31090,mp-31090,127,tetragonal,2.8265707618762563e-19,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.8454010419999961,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5962,mp-1195536,mp-1195536,60,orthorhombic,9.239370920260916e-20,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-2.700472152612971,0.0,3.959,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5963,mp-571331,mp-571331,229,cubic,2.8474420714228116e-15,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.663477595882354,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5964,mp-779594,mp-779594,57,orthorhombic,1.5964116292262651e-22,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-1.7460570564772722,0.0,2.0523,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5965,mp-810,mp-810,194,hexagonal,7.230800680435577e-11,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.254225099999999,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5966,mp-1220065,mp-1220065,2,triclinic,4.4917150910544464e-39,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.901887938318181,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
5967,mp-1200696,mp-1200696,62,orthorhombic,1.0015527672210437e-17,0.00015120471548505475,0.0,0.00015120471548505475,0.00015120471548505475,-0.706362505555553,0.0,0.0,0,,0.00015120471548505475,False,hybrid=0.000; hull=0.0; magnetic=
