rank_hybrid,material_id,formula,space_group_number,crystal_system,gnn_probability,hybrid_probability,hybrid_probability_std,explicit_only_probability,embedding_only_probability,formation_energy_per_atom,energy_above_hull,band_gap,n_magnetic_sites,magnetic_elements,dft_priority_score,dft_selected,rationale
21,mp-1274129,Sr8 Co4 Ge8 O28,1,triclinic,0.9999996423721312,0.9910043775640566,0.0,0.9910043775640566,0.9910043775640566,-2.509993763333333,0.001160532499995,2.3492,4,Co,0.9898438450640615,False,hybrid=0.991; hull=0.001160532499995; magnetic=Co
22,mp-758075,Fe8 H16 O8 F20,74,orthorhombic,0.9999983310699464,0.9975734323397935,0.0,0.9975734323397935,0.9975734323397935,-1.995273671923077,0.00832864012821,1.587,8,Fe,0.9892447922115835,False,hybrid=0.998; hull=0.00832864012821; magnetic=Fe
23,mp-1195892,Rb4 Fe8 F24,62,orthorhombic,0.9999998807907104,0.9886756715735752,0.0,0.9886756715735752,0.9886756715735752,-2.758847765555556,0.0,1.5418,8,Fe,0.9886756715735752,False,hybrid=0.989; hull=0.0; magnetic=Fe
24,mp-1283659,Sr4 Mn2 Ga2 O10,1,triclinic,0.9993075132369996,0.9919564762716432,0.0,0.9919564762716432,0.9919564762716432,-2.672337734492337,0.003614081666667,1.025399999999999,2,Mn,0.9883423946049762,False,hybrid=0.992; hull=0.003614081666667; magnetic=Mn
25,mp-6603,Sr4 Ce2 Ir2 O12,14,monoclinic,0.1551681160926818,0.9881963574355623,0.0,0.9881963574355623,0.9881963574355623,-2.841448410500001,0.0,0.0,2,Ce,0.9881963574355623,False,hybrid=0.988; hull=0.0; magnetic=Ce
26,mp-541374,Rb8 Mn8 H16 O8 F32,15,monoclinic,0.9985670447349548,0.9945479561984817,0.0,0.9945479561984817,0.9945479561984817,-2.382845005603449,0.00830812166667,0.231399999999999,8,Mn,0.9862398345318116,False,hybrid=0.995; hull=0.00830812166667; magnetic=Mn
27,mp-546027,Cr6 Bi6 O18,161,trigonal,0.9999815225601196,0.9978820190357851,0.0,0.9978820190357851,0.9978820190357851,-1.9894524509999991,0.014705041000002,1.9846999999999992,6,Cr,0.9831769780357831,False,hybrid=0.998; hull=0.014705041000002; magnetic=Cr
28,mp-1214474,Ba4 Fe8 F28,14,monoclinic,0.9999997615814208,0.9973950139941747,0.0,0.9973950139941747,0.9973950139941747,-3.102310879750001,0.015786852500013,1.8116999999999992,8,Fe,0.9816081614941617,False,hybrid=0.997; hull=0.015786852500013; magnetic=Fe
29,mp-26069,Li12 Fe8 P12 O48,14,monoclinic,0.9997783303260804,0.992097048331379,0.0,0.992097048331379,0.992097048331379,-2.500679353571428,0.011562695624999,2.4969,8,Fe,0.98053435270638,False,hybrid=0.992; hull=0.011562695624999; magnetic=Fe
30,mp-605437,Fe4 H4 O8,62,orthorhombic,0.9910675883293152,0.9795851527417113,0.0,0.9795851527417113,0.9795851527417113,-1.549119508437499,0.0,0.0,4,Fe,0.9795851527417113,False,hybrid=0.980; hull=0.0; magnetic=Fe
