feature,importance
num__stoich_entropy,0.06701679955779268
cat__magnetic_elements_,0.059590502548168854
num__num_elements,0.05475724636367376
num__n_inequivalent_magnetic_sites,0.0479868085016443
num__emb_225,0.022127238500023527
num__emb_242,0.015118562323296883
num__emb_023,0.013967155025390162
num__emb_204,0.013270105467092237
num__emb_144,0.012922860275787462
num__n_magnetic_sites,0.01264172996374171
num__emb_141,0.010783788377702247
num__emb_174,0.01068363483448641
num__emb_338,0.010267670281736915
num__emb_351,0.010010315041141388
num__emb_390,0.009595808810029978
num__emb_478,0.0091358112219557
num__emb_120,0.008981255484107964
num__emb_043,0.008978976960113278
num__tm_3d_fraction,0.008407551720546894
num__emb_412,0.008377465481700075
num__emb_004,0.008284880248390325
num__emb_441,0.007912187943626659
num__emb_291,0.007881741793902048
num__emb_368,0.007747738312682884
num__emb_072,0.007616602583020098
num__emb_434,0.0072681607787140196
num__emb_421,0.007063513575501338
num__emb_396,0.007024695191536738
num__emb_420,0.007010872927769724
num__emb_182,0.006993460729935428
num__emb_175,0.006944582460628952
num__emb_124,0.006919308524261786
num__emb_053,0.006806436395424943
num__emb_155,0.006783270171180165
num__emb_511,0.0065860372809209275
num__emb_214,0.006447170225690445
num__emb_180,0.00638049176291815
num__emb_365,0.006058275756876598
num__emb_117,0.006013523089192858
num__emb_088,0.005547297422030021
num__emb_326,0.005202739830386264
num__emb_153,0.005180832344354721
num__emb_358,0.004957485004341196
num__emb_221,0.004948442348892535
num__emb_034,0.004915433393292253
num__emb_224,0.004901076675424434
num__emb_276,0.0048680058344513
num__emb_268,0.004855763330538019
num__emb_336,0.004737532403770133
num__emb_119,0.00459956612006847
num__emb_323,0.0045286681318359
num__emb_085,0.004504458707482951
num__emb_220,0.004489737484514026
num__emb_463,0.004250242316537349
num__emb_353,0.0042280644297556565
num__emb_029,0.004203941897037377
num__emb_325,0.004150211028650063
num__emb_508,0.004097814569792053
num__emb_102,0.00395684952723752
num__emb_109,0.0038891055194418107
num__emb_164,0.0037724544072558533
num__emb_440,0.0036937691836629455
num__emb_213,0.003683616656256137
num__emb_427,0.003674212538660323
num__emb_498,0.003637600941856313
num__emb_363,0.003578023375014372
num__emb_422,0.003558473085046435
num__emb_138,0.003543146324041973
num__emb_042,0.0034863128588982655
num__emb_260,0.0033703603779823552
num__emb_407,0.003314461836013121
num__emb_163,0.0032640657044220116
num__emb_466,0.003238647259342259
num__emb_133,0.0031026542780663705
num__emb_132,0.003084444582300751
num__emb_167,0.0030066867300992746
num__emb_076,0.002982087485733885
num__emb_435,0.0029809879259191964
num__emb_269,0.002979907634004096
num__emb_346,0.00295263836348426
num__emb_345,0.0029434154451522822
num__emb_298,0.0029125038307754245
num__emb_265,0.0028717058631492465
num__emb_210,0.0028219046060097997
num__emb_193,0.0028045804049947223
num__emb_016,0.0027838622650196306
num__emb_487,0.0027596001096030884
num__emb_361,0.0027294590536563763
num__emb_475,0.0027067408379390537
num__emb_447,0.002704260412673423
num__emb_228,0.002641307245788852
num__emb_114,0.002615378123416244
num__emb_091,0.002609597657039735
num__emb_181,0.0026013201916897026
num__emb_284,0.002588068142554334
num__emb_264,0.0025869603152357274
num__emb_408,0.002572868520691578
num__emb_218,0.002565411326893575
num__emb_184,0.0025094565766614458
num__emb_316,0.002486084967186207
num__emb_510,0.002454697363851213
num__emb_077,0.0023729522387346074
num__emb_235,0.0023619609902801766
num__emb_250,0.0023034348580880082
num__emb_279,0.002302832959256311
num__emb_048,0.0022900276288429435
num__emb_194,0.002286856464919747
num__emb_015,0.0022615012656507943
num__emb_127,0.002249695655121078
num__emb_484,0.002241333412277196
num__emb_445,0.0021204764139468387
num__emb_333,0.002080771988325634
num__emb_330,0.0020419748954536286
num__emb_012,0.002040327021072446
num__emb_105,0.002018430326330784
num__emb_247,0.001978041221653604
num__emb_499,0.0019694755989189054
num__emb_296,0.001958869544314965
num__emb_177,0.001940163862940471
num__emb_289,0.0019362833253402632
num__emb_352,0.0019040922082168739
num__emb_148,0.001882852798604339
num__emb_285,0.0018602124432441178
num__emb_274,0.0018439513702106492
num__emb_413,0.001834152827218235
num__emb_131,0.0018192540344785155
num__emb_347,0.0018059418159340178
num__emb_158,0.0018012818188789588
num__emb_157,0.0017939064535989254
num__emb_272,0.0017937787134029413
num__emb_089,0.0017774363933552157
num__emb_482,0.00169058165732387
num__emb_500,0.0016872129773974915
num__emb_385,0.0016809758700142077
num__emb_429,0.0016798676427993975
num__emb_313,0.001662436147952419
num__emb_231,0.0016485434026405508
num__emb_178,0.0016410558263671132
num__emb_414,0.0016286255162271971
num__emb_491,0.0016195901629660215
num__emb_035,0.0015964767713472338
num__emb_458,0.0015939294406264036
num__emb_357,0.001586301692848907
num__emb_430,0.0015755668145931295
num__emb_334,0.0015714297146623608
num__emb_322,0.001565498373024093
num__emb_456,0.0015489190955297286
num__emb_103,0.0015450489725195333
num__emb_403,0.0015304460382608975
num__emb_480,0.0014875834976484942
num__emb_092,0.0014582408026521442
num__emb_212,0.0014474390985817944
num__emb_471,0.0014296391158292784
num__emb_394,0.0014258867473595858
num__emb_490,0.0014015382090151296
num__emb_319,0.0013662915423476986
num__emb_245,0.0013346813160442547
num__emb_302,0.0013183338745054601
num__emb_209,0.0013155198602359504
num__emb_176,0.001308657889787842
num__emb_401,0.0013078228941899566
num__emb_436,0.0012990542967843811
num__emb_037,0.0012645157601134402
num__emb_288,0.0012591750920313792
num__emb_406,0.0012333581500576527
num__emb_449,0.001213101149554475
num__emb_489,0.00120830143839323
num__emb_411,0.001180686349200481
num__emb_246,0.0011626743660714163
num__emb_160,0.0011604911341943696
num__emb_011,0.001148960465774739
num__emb_121,0.0011459001095688209
num__emb_097,0.001143793616670134
num__emb_494,0.0011435933470321652
num__emb_002,0.0011383987334509951
num__emb_349,0.0011059427764369878
num__emb_226,0.0011045880377566107
num__emb_227,0.0011043074386503711
num__emb_452,0.0010800561119947165
num__emb_050,0.0010777163034332434
num__emb_248,0.0010738716126755547
num__emb_206,0.0010677380843450766
cat__magnetic_elements_Mn,0.0010189128521323274
num__emb_173,0.0010139792931500022
num__emb_162,0.001001127414599049
num__emb_426,0.0009949909567804414
num__emb_219,0.0009949290155719154
num__emb_126,0.000982785021269273
num__emb_371,0.0009823173514504385
num__emb_314,0.0009809139274182344
num__emb_400,0.0009686938448941994
num__emb_113,0.0009684583948147952
num__emb_369,0.0009402405188778844
num__emb_437,0.0009355237950075365
num__emb_086,0.0009220313831396638
cat__crystal_system_cubic,0.0009070372633876448
num__emb_503,0.0008981530871542986
num__emb_310,0.0008970795488324732
num__emb_366,0.0008906911314171371
num__emb_331,0.0008751603162576567
num__emb_070,0.0008710284105793506
num__emb_387,0.0008655914423542098
num__emb_492,0.0008434723797122664
num__emb_509,0.0008416315946828808
num__emb_096,0.0008360268949086802
num__emb_179,0.0008276416331210115
num__emb_258,0.0008238143442639064
num__emb_392,0.0008237253967145414
num__emb_068,0.0008199393597116805
num__emb_373,0.000808275247720455
num__emb_355,0.0007880607443872264
num__emb_282,0.0007783834424205348
num__emb_059,0.000773504211715079
num__emb_013,0.0007702540111545411
num__emb_432,0.0007657865939991506
num__emb_106,0.0007554813542194121
num__emb_419,0.0007551160772150974
num__emb_356,0.0007464098795064289
num__emb_189,0.0007415084861995671
num__emb_304,0.0007332039494456739
num__emb_381,0.00072508447513055
num__emb_233,0.0007225070810821761
num__emb_287,0.0007205986192880667
num__emb_439,0.0007177848525807985
num__emb_049,0.000714662177271091
num__emb_154,0.0006982279162812381
num__emb_442,0.000685326850565506
num__emb_493,0.0006837133784306195
num__emb_230,0.0006787204444575583
num__emb_075,0.0006781322583298824
num__emb_451,0.0006728588114672411
num__emb_191,0.0006697447472336794
num__emb_467,0.0006659248129516201
num__emb_125,0.00065808029897344
num__emb_058,0.0006470567272500241
num__emb_473,0.0006384534356747862
cat__point_group_m-3m,0.0006206864210706284
num__emb_382,0.0006206192746014834
num__emb_041,0.0006140106260767454
num__emb_136,0.000607044227817802
num__emb_423,0.0006034620901632695
num__emb_253,0.0005950396592387584
num__emb_340,0.000593355000381314
num__emb_057,0.0005782210871217715
num__n_rotation_3,0.0005771246012497563
num__emb_140,0.0005766506753670084
num__emb_239,0.0005735706793026444
num__emb_187,0.0005735506924949511
cat__magnetic_elements_Fe,0.0005722014547360617
num__emb_080,0.0005708138680698936
num__emb_286,0.0005578922883863711
num__emb_476,0.000548838500880006
num__emb_461,0.0005482934882279026
num__emb_255,0.0005430219067019487
num__emb_087,0.0005407745121826646
num__emb_021,0.0005262927729259622
num__emb_254,0.0005247303576343112
num__emb_033,0.0005241979055063133
num__emb_256,0.0005241560424850758
num__emb_405,0.0005211252792397383
num__emb_364,0.0005137648791012746
num__emb_111,0.0005033235417921627
num__emb_380,0.0005032013008374087
num__emb_026,0.0005010977366687298
num__emb_018,0.0004978151266426446
num__emb_170,0.000494357079888626
