material_id,label,source_split,crystal_system,magnetic_elements,pc1,pc2
mp-1079211,0,label0,tetragonal,,7.156859201343897,4.074274128470353
mp-1181591,0,label0,tetragonal,,3.531507057625813,-6.514115059878222
mp-39866,unknown,unconfirmed_candidate,hexagonal,,-6.273125891197154,-3.7435535546999255
mp-540842,0,label0,trigonal,,-9.47427749615932,-9.961160592360397
mp-1024049,unknown,unconfirmed_candidate,monoclinic,,5.75807450097842,-1.9674122431490044
mp-1203385,0,label0,cubic,,0.05254701984724974,-1.096920349196818
mp-1178787,unknown,unconfirmed_candidate,tetragonal,,-11.764304847066459,-2.063160177194325
mp-19474,unknown,unconfirmed_candidate,triclinic,,-10.556614438386045,-3.8272069936213295
mp-756545,unknown,unconfirmed_candidate,cubic,,4.14555950583317,-7.421403574415876
mp-2222144,unknown,unconfirmed_candidate,triclinic,,-20.59746834516364,1.5225629301957397
mp-29119,unknown,unconfirmed_candidate,tetragonal,,7.365299403499279,-0.06053745609243677
mp-1226555,0,label0,trigonal,,3.2762041338062886,-1.8103777411757793
mp-1190421,unknown,unconfirmed_candidate,orthorhombic,,0.010895971669658167,-4.439056869621902
mp-850952,unknown,unconfirmed_candidate,triclinic,,-2.5098499876762155,0.8896260830009233
mp-1222194,0,label0,monoclinic,,8.760641634531737,-6.260358255096653
mp-19111,unknown,unconfirmed_candidate,orthorhombic,,-7.876550801172499,-5.199841861917919
mp-2231527,unknown,unconfirmed_candidate,triclinic,,4.825412597831402,3.165114872324807
mp-1105911,unknown,unconfirmed_candidate,hexagonal,,-1.4155733958183525,-1.423812768603943
mp-7907,0,label0,tetragonal,,2.0379313178227108,-2.428474889200931
mp-1220340,unknown,unconfirmed_candidate,orthorhombic,,1.5202229136728143,3.7799460800248035
mp-753201,unknown,unconfirmed_candidate,triclinic,,0.9651449330835078,0.675993587271229
mp-776082,unknown,unconfirmed_candidate,hexagonal,,-6.018754292954636,-9.168787076682735
mp-1202257,unknown,unconfirmed_candidate,monoclinic,,-2.5529360082238597,-5.550245450235002
mp-510490,unknown,unconfirmed_candidate,orthorhombic,,-0.5740075473214432,-5.7618831646487525
mp-2229886,unknown,unconfirmed_candidate,monoclinic,,2.1141325911720195,-7.3155047691847646
mp-725670,0,label0,orthorhombic,,0.8475097701043204,5.969105957276653
mp-764701,0,label0,triclinic,,5.955414588200231,-7.881035109164108
mp-771330,unknown,unconfirmed_candidate,orthorhombic,,-4.77854705403054,-3.430618006302785
mp-20963,0,label0,cubic,,13.374274553445836,0.9953803197886231
mp-732315,unknown,unconfirmed_candidate,orthorhombic,,2.299152050197744,-4.656597269453712
mp-1180557,unknown,unconfirmed_candidate,hexagonal,,8.71337196239035,2.352200699716896
mp-1208092,unknown,unconfirmed_candidate,monoclinic,,-9.626746329699476,-7.091827178710396
mp-1519275,0,label0,cubic,,-1.186217254638855,0.2968348470729616
mp-552575,unknown,unconfirmed_candidate,orthorhombic,,-8.05256688518854,-0.4730958741633273
mp-558324,unknown,unconfirmed_candidate,monoclinic,,-2.6263329370859694,11.200328488544784
mp-1220570,0,label0,trigonal,,17.479665640283095,6.637072883710395
mp-1356066,unknown,unconfirmed_candidate,triclinic,,3.139303753879295,-5.779101655530086
mp-1376797,0,label0,triclinic,,-11.706191688038746,-3.0399651042087115
mp-1220400,unknown,unconfirmed_candidate,orthorhombic,,-6.3239953381692295,-7.144669733410611
mp-1194659,unknown,unconfirmed_candidate,monoclinic,,-10.668441410798337,-2.693340961497684
mp-756323,unknown,unconfirmed_candidate,monoclinic,,1.8558026190768189,-3.0579890700570864
mp-631463,0,label0,cubic,,6.314528446196945,-4.470563000648813
mp-1195058,unknown,unconfirmed_candidate,orthorhombic,,-1.2698299282043877,-3.7103664996460655
mp-1566038,unknown,unconfirmed_candidate,triclinic,,-3.340642856326472,8.090115156557555
mp-1220121,unknown,unconfirmed_candidate,triclinic,,-2.6720237652069265,0.8592678870291905
mp-765054,unknown,unconfirmed_candidate,orthorhombic,,-0.6035233823459265,2.613083559586183
mp-753907,unknown,unconfirmed_candidate,triclinic,,-8.300819791386928,0.006125159994319063
mp-1027982,0,label0,hexagonal,,-3.094180147014807,1.3709030100139756
mp-1224954,unknown,unconfirmed_candidate,orthorhombic,,12.059951904569866,4.264164997989965
mp-1192454,unknown,unconfirmed_candidate,hexagonal,,5.564667897882554,-3.5288778739044044
mp-1037730,0,label0,tetragonal,,1.46287840302017,-2.21429263951741
mp-2220531,unknown,unconfirmed_candidate,monoclinic,,9.283995753311236,17.53206392001827
mp-1222163,unknown,unconfirmed_candidate,monoclinic,,3.487221145283229,-1.6453936798752817
mp-677659,0,label0,triclinic,,2.0494299296391176,0.13415724342632984
mp-1216486,0,label0,orthorhombic,,0.1059543724851153,-0.26574410390213643
mp-674493,unknown,unconfirmed_candidate,orthorhombic,,3.9075459712061296,-4.7632282568433215
mp-961695,0,label0,cubic,,4.9373356785784726,-2.0519531775448954
mp-1219340,0,label0,monoclinic,,-18.222935456510427,0.8452390406424541
mp-1079305,unknown,unconfirmed_candidate,orthorhombic,,9.48218617924126,2.979615917726452
mp-1196136,unknown,unconfirmed_candidate,orthorhombic,,-6.812465412401842,-6.040478828832567
mp-753630,unknown,unconfirmed_candidate,triclinic,,-0.8456010072244275,-4.85591242607526
mp-781961,unknown,unconfirmed_candidate,monoclinic,,-2.2560037616758173,-2.752695360684534
mp-599,0,label0,hexagonal,,2.5478610088554774,1.0020994409418655
mp-28665,0,label0,monoclinic,,6.554805790132466,3.372256286906314
mp-1273081,unknown,unconfirmed_candidate,triclinic,,-19.985235390804824,2.6638232314116657
mp-1192789,unknown,unconfirmed_candidate,tetragonal,,13.012890338521053,-5.279817048240405
mp-1185299,0,label0,hexagonal,,-6.285093573327636,2.0705385538971015
mp-541155,unknown,unconfirmed_candidate,monoclinic,,-2.1956162779073125,-3.0954847785938373
mp-1215405,unknown,unconfirmed_candidate,orthorhombic,Cr,17.983689339127565,-1.0248203049658748
mp-560114,unknown,unconfirmed_candidate,orthorhombic,,2.6266156280924555,3.3488926899904072
mp-540169,0,label0,triclinic,,-6.076825761998428,-2.9293509526361774
mp-12274,0,label0,orthorhombic,,1.4401412061874943,-3.895488554925665
mp-1216557,0,label0,monoclinic,,-12.61886460596315,3.84550879920911
mp-1003920,unknown,unconfirmed_candidate,orthorhombic,,-12.380429559508578,0.6770444738549806
mp-1211033,0,label0,tetragonal,,1.611126216121587,16.895124358125816
mp-762287,unknown,unconfirmed_candidate,triclinic,,-8.35318272807207,-4.4088320947832855
mp-30709,0,label0,trigonal,,-1.6834562901002386,-0.018457059388236274
mp-568659,unknown,unconfirmed_candidate,monoclinic,,-0.8416509160309431,1.7414187541894428
mp-1291942,unknown,unconfirmed_candidate,orthorhombic,,-0.7272144871500004,4.642790881159911
mp-2716308,unknown,unconfirmed_candidate,triclinic,,-2.4004966961038754,-7.064531348545618
mp-753863,unknown,unconfirmed_candidate,monoclinic,,-0.11026398562187367,-2.2063670772335673
mp-699466,unknown,unconfirmed_candidate,monoclinic,,3.011777941137563,-2.3082407058992125
mp-1227902,unknown,unconfirmed_candidate,cubic,,-9.727286724180843,6.521161641070975
mp-770383,unknown,unconfirmed_candidate,monoclinic,,-7.1586656631672625,-5.828442605379735
mp-780699,unknown,unconfirmed_candidate,triclinic,V,8.795028123859316,2.7347788011407843
mp-858,0,label0,cubic,,-15.826640812683245,7.453003222457607
mp-1233597,unknown,unconfirmed_candidate,triclinic,,3.8167835948754494,4.659251726679145
mp-1178284,unknown,unconfirmed_candidate,monoclinic,Fe,8.676851213742587,-1.3648779077411017
