material_id,formula,rank_hybrid,rank_gnn,rank_shift_hybrid_minus_gnn,gnn_probability,hybrid_probability,probability_delta,space_group_number,crystal_system,magnetic_elements,dft_selected
mp-977049,mp-977049,7034,21620,-14586,5.737760565640465e-25,0.000151204715485,0.000151204715485,139,tetragonal,,False
mp-2220331,mp-2220331,24301,38886,-14585,1.401298464324817e-45,0.000151204715485,0.000151204715485,1,triclinic,,False
mp-541202,mp-541202,1236,15821,-14585,1.0017646942867126e-21,0.000151204715485,0.000151204715485,15,monoclinic,,False
mp-1218576,mp-1218576,14375,28959,-14584,5.4351044537953026e-30,0.000151204715485,0.000151204715485,12,monoclinic,,False
mp-568922,mp-568922,4738,19321,-14583,1.2623928862668349e-23,0.000151204715485,0.000151204715485,2,triclinic,,False
mp-1202252,mp-1202252,10540,25119,-14579,3.281068179296538e-27,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-28282,mp-28282,5739,20316,-14577,3.673955188568124e-24,0.000151204715485,0.000151204715485,15,monoclinic,,False
mp-1304149,mp-1304149,16164,30741,-14577,1.3540240834960783e-31,0.000151204715485,0.000151204715485,1,triclinic,,False
mp-771650,mp-771650,22190,36765,-14575,6.642911422070368e-40,0.000151204715485,0.000151204715485,205,cubic,,False
mp-554903,mp-554903,3105,17680,-14575,1.0077010808577796e-22,0.000151204715485,0.000151204715485,62,orthorhombic,,False
mp-1291925,mp-1291925,22318,36892,-14574,3.511780068459781e-40,0.000151204715485,0.000151204715485,1,triclinic,,False
